"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000233757.7",326.643660704627,0.0324493199549023,0.168213048229418,0.192906081284766,0.847032522313722,0.945712504733709,"Stable","Stable",0.945712504733709,"ZNF892","ZNF892"
"ENSG00000214269.3",387.830667572643,0.0308993883177663,0.160091120362105,0.193011256638569,0.846950152328268,0.945712504733709,"Stable","Stable",0.945712504733709,NA,"ENSG00000214269.3"
"ENSG00000166024.14",152.645342667651,-0.0340300694795712,0.176435223294446,-0.192875712933918,0.84705630614933,0.945712504733709,"Stable","Stable",0.945712504733709,"R3HCC1L","R3HCC1L"
"ENSG00000221184.1",3.99258438652792,-0.200312154777119,1.03896937262169,-0.192798902504374,0.847116463038305,0.945712504733709,"Stable","Stable",0.945712504733709,NA,"ENSG00000221184.1"
"ENSG00000289915.1",2.34149390376672,-0.20535104235357,1.06529784089181,-0.192763971230487,0.847143821034017,0.945712504733709,"Stable","Stable",0.945712504733709,"LOC124904731","LOC124904731"
"ENSG00000223704.2",4.61032650047651,0.219237564811564,1.13769670400557,0.192702997239668,0.847191575994332,0.94571732791034,"Stable","Stable",0.94571732791034,NA,"ENSG00000223704.2"
"ENSG00000253743.1",2.35779676135046,-0.219171846103676,1.13875302237921,-0.192466532950014,0.847376780638917,0.945881417897659,"Stable","Stable",0.945881417897659,"MARK2P11","MARK2P11"
"ENSG00000260805.3",46.4334603450116,0.0553197335768989,0.287582693916011,0.192361135587161,0.847459333160871,0.945904416953462,"Stable","Stable",0.945904416953462,NA,"ENSG00000260805.3"
"ENSG00000290292.10",330.328910612781,0.0283217234952333,0.14743739924254,0.192093211361136,0.847669192439259,0.945904416953462,"Stable","Stable",0.945904416953462,"HOMEZ","HOMEZ"
"ENSG00000176845.13",104.284268619569,-0.0294516815760192,0.153337380932343,-0.192071114016316,0.847686501296092,0.945904416953462,"Stable","Stable",0.945904416953462,"METRNL","METRNL"
"ENSG00000170417.16",175.265119669876,-0.0358088019912835,0.186360248748914,-0.192148283937575,0.847626054393352,0.945904416953462,"Stable","Stable",0.945904416953462,"TMEM182","TMEM182"
"ENSG00000270127.2",16.1935690293681,-0.0767117819799847,0.399436590100997,-0.192049962074301,0.847703069687439,0.945904416953462,"Stable","Stable",0.945904416953462,NA,"ENSG00000270127.2"
"ENSG00000165555.10",11.3424349101663,-0.137288819156258,0.713817508179861,-0.192330417204709,0.847483393659887,0.945904416953462,"Stable","Stable",0.945904416953462,"NOXRED1","NOXRED1"
"ENSG00000223922.1",2.64180303610862,-0.190814794084956,0.992971164402221,-0.192165493748077,0.847612574137148,0.945904416953462,"Stable","Stable",0.945904416953462,"ASS1P2","ASS1P2"
"ENSG00000278153.1",2.44777776283269,-0.344582614439777,1.79266826193972,-0.192217724693206,0.847571662482477,0.945904416953462,"Stable","Stable",0.945904416953462,NA,"ENSG00000278153.1"
"ENSG00000184056.15",106.800998563818,-0.032318131700501,0.168421851287711,-0.191887997034855,0.847829939708709,0.946003342535342,"Stable","Stable",0.946003342535342,"VPS33B","VPS33B"
"ENSG00000253580.1",5.32825176580777,0.148365200930711,0.774442448977381,0.191576793248641,0.848073722089792,0.946173600706563,"Stable","Stable",0.946173600706563,NA,"ENSG00000253580.1"
"ENSG00000215286.3",4.47731058395486,0.121099659517151,0.632530801711175,0.191452588853447,0.848171022019347,0.946173600706563,"Stable","Stable",0.946173600706563,NA,"ENSG00000215286.3"
"ENSG00000159958.7",30.9684031523903,0.111858715046947,0.58468208965634,0.191315446506484,0.848278460041246,0.946173600706563,"Stable","Stable",0.946173600706563,"TNFRSF13C","TNFRSF13C"
"ENSG00000254112.1",72.9515056652173,0.0405056062019181,0.211843522294677,0.191205309292273,0.848364744143925,0.946173600706563,"Stable","Stable",0.946173600706563,NA,"ENSG00000254112.1"
"ENSG00000242208.1",96.7869302601805,0.0332915634227047,0.173733476015279,0.191624344290314,0.848036471903202,0.946173600706563,"Stable","Stable",0.946173600706563,"RPL5P29","RPL5P29"
"ENSG00000094914.14",555.679991383254,0.0183416498832881,0.0958768280355411,0.191304304273488,0.848287189047882,0.946173600706563,"Stable","Stable",0.946173600706563,"AAAS","AAAS"
"ENSG00000010295.20",1610.9396543973,-0.0142951091009892,0.0747595072712257,-0.191214597618025,0.848357467379325,0.946173600706563,"Stable","Stable",0.946173600706563,"IFFO1","IFFO1"
"ENSG00000039600.11",32.8577631678935,-0.061682381234249,0.322564854161362,-0.191224742678855,0.848349519436464,0.946173600706563,"Stable","Stable",0.946173600706563,"SOX30","SOX30"
"ENSG00000269846.1",1.99884768088867,-0.197757189938174,1.03287463958091,-0.191462915594881,0.848162932111028,0.946173600706563,"Stable","Stable",0.946173600706563,NA,"ENSG00000269846.1"
"ENSG00000159708.18",3.00414242318741,-0.202840069459137,1.06078144189416,-0.191217588702288,0.848355124073211,0.946173600706563,"Stable","Stable",0.946173600706563,"LRRC36","LRRC36"
"ENSG00000263311.1",73.4937411271412,0.0489877244820103,0.257182584388196,0.190478389501162,0.848934275854774,0.946467663429334,"Stable","Stable",0.946467663429334,NA,"ENSG00000263311.1"
"ENSG00000178229.8",278.419868077062,0.0297306772082673,0.155922444996393,0.190676058273426,0.848779397257104,0.946467663429334,"Stable","Stable",0.946467663429334,"ZNF543","ZNF543"
"ENSG00000146729.10",1916.41801922727,0.0169844834925302,0.0890334027003045,0.190765296814519,0.848709478463314,0.946467663429334,"Stable","Stable",0.946467663429334,"NIPSNAP2","NIPSNAP2"
"ENSG00000131849.14",146.245980935035,-0.0385602697097118,0.202278195308705,-0.19062988796624,0.848815572365142,0.946467663429334,"Stable","Stable",0.946467663429334,"ZNF132","ZNF132"
"ENSG00000132141.14",22.1005883739009,-0.0628430614459465,0.329796437700617,-0.190551061994776,0.84887733439748,0.946467663429334,"Stable","Stable",0.946467663429334,"CCT6B","CCT6B"
"ENSG00000286681.1",21.54689379929,-0.0647533892435479,0.339898404244148,-0.190508070749975,0.848911019456116,0.946467663429334,"Stable","Stable",0.946467663429334,NA,"ENSG00000286681.1"
"ENSG00000278431.1",9.68074967806267,-0.109381599756405,0.573931624938134,-0.1905829806263,0.848852325275135,0.946467663429334,"Stable","Stable",0.946467663429334,NA,"ENSG00000278431.1"
"ENSG00000233554.6",3.22376270783341,-0.388010996920786,2.03617486028196,-0.190558779842246,0.84887128723858,0.946467663429334,"Stable","Stable",0.946467663429334,"B4GALT1-AS1","B4GALT1-AS1"
