"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000177679.16",243.463495478646,0.0793840723493194,0.165483489030338,0.479709926437229,0.631433668564088,0.908938036211168,"Stable","Stable",0.908938036211168,"SRRM3","SRRM3"
"ENSG00000249245.2",421.958977925076,0.05950497065016,0.123965212271751,0.480013461516251,0.63121782104955,0.908938036211168,"Stable","Stable",0.908938036211168,NA,"ENSG00000249245.2"
"ENSG00000186222.5",539.503747551695,0.0465101022497041,0.0969489742440498,0.479737950941328,0.63141373867852,0.908938036211168,"Stable","Stable",0.908938036211168,"BLOC1S4","BLOC1S4"
"ENSG00000136868.11",1755.08245574,0.0279678695824602,0.0583090278087148,0.479649046357108,0.631476964919983,0.908938036211168,"Stable","Stable",0.908938036211168,"SLC31A1","SLC31A1"
"ENSG00000161542.17",1887.39671080129,-0.0254312540940887,0.0529499916158352,-0.480288160923585,0.631022506041752,0.908938036211168,"Stable","Stable",0.908938036211168,"PRPSAP1","PRPSAP1"
"ENSG00000183171.5",1843.40352340831,-0.028308126747337,0.0589791225102669,-0.479968598081622,0.631249722007605,0.908938036211168,"Stable","Stable",0.908938036211168,"LOC643015","LOC643015"
"ENSG00000185864.19",351.603097312215,-0.0584648096092088,0.121811491287274,-0.479961364821716,0.631254865412423,0.908938036211168,"Stable","Stable",0.908938036211168,"NPIPB4","NPIPB4"
"ENSG00000197872.11",68.5138933662522,-0.129357599901261,0.269611582293603,-0.479792443636166,0.631374986461096,0.908938036211168,"Stable","Stable",0.908938036211168,"CYRIA","CYRIA"
"ENSG00000253866.1",61.1166804188833,-0.139771200724845,0.291057434079524,-0.480218624777185,0.631071944750536,0.908938036211168,"Stable","Stable",0.908938036211168,NA,"ENSG00000253866.1"
"ENSG00000250496.2",38.2554069849554,-0.16900051984322,0.351882046930437,-0.480276050788773,0.631031115969154,0.908938036211168,"Stable","Stable",0.908938036211168,NA,"ENSG00000250496.2"
"ENSG00000270210.1",9.9749348123848,-0.348224084818369,0.724806791012275,-0.480437116672203,0.630916607255957,0.908938036211168,"Stable","Stable",0.908938036211168,NA,"ENSG00000270210.1"
"ENSG00000285728.3",9.95947940409284,-0.374887201036039,0.781454100176775,-0.479730288639134,0.631419187769056,0.908938036211168,"Stable","Stable",0.908938036211168,NA,"ENSG00000285728.3"
"ENSG00000114735.10",945.731181418282,-0.0361425888058668,0.0753645870237301,-0.479569917824754,0.631533240997934,0.908954860984459,"Stable","Stable",0.908954860984459,"HEMK1","HEMK1"
"ENSG00000251643.1",17.3633294591974,0.252176138078387,0.526359569207511,0.479094810526699,0.631871181398958,0.909299797163257,"Stable","Stable",0.909299797163257,"COPS3P1","COPS3P1"
"ENSG00000236675.1",121.318975672024,0.0943792012228546,0.197015369799694,0.479044864970739,0.631906711783178,0.909299797163257,"Stable","Stable",0.909299797163257,"MTX1LP","MTX1LP"
"ENSG00000112365.6",430.100224936121,0.0554174391467411,0.115672688997028,0.479088362406486,0.631875768429719,0.909299797163257,"Stable","Stable",0.909299797163257,"ZBTB24","ZBTB24"
"ENSG00000166471.11",1065.24881816825,-0.0341243553468641,0.0712698231998247,-0.478805107333956,0.632077282955176,0.90932040675153,"Stable","Stable",0.90932040675153,"TMEM41B","TMEM41B"
"ENSG00000234444.10",758.964417831132,-0.0410735987472522,0.0857891270652447,-0.47877394434862,0.632099454727555,0.90932040675153,"Stable","Stable",0.90932040675153,"ZNF736","ZNF736"
"ENSG00000132906.18",366.170603146744,-0.06145445220118,0.128322454273751,-0.478906459114933,0.632005175700292,0.90932040675153,"Stable","Stable",0.90932040675153,"CASP9","CASP9"
