"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected"
"ENSG00000198134.3",256.283222366853,-0.0472549205413597,0.105270654805919,-0.448889774918571,0.653511172570588,0.875178027970511,"Stable","Stable",0.875178027970511
"ENSG00000233671.1",33.6537056487289,0.132698311437647,0.295777294725631,0.448642657174683,0.653689456610077,0.875231393726058,"Stable","Stable",0.875231393726058
"ENSG00000122694.16",340.986073689229,-0.0542462070656408,0.120911244298934,-0.448644850031696,0.653687874478078,0.875231393726058,"Stable","Stable",0.875231393726058
"ENSG00000173226.17",236.950026492942,-0.0556043954118159,0.123905857121995,-0.448763252225188,0.653602450380628,0.875231393726058,"Stable","Stable",0.875231393726058
"ENSG00000151789.13",478.825022186247,-0.0500707135003811,0.11163626192795,-0.448516571906506,0.653780428924323,0.875291409289732,"Stable","Stable",0.875291409289732
"ENSG00000217094.2",1741.64312030821,-0.030773886120926,0.0686484716479433,-0.448282174128315,0.653949563926524,0.875394267696688,"Stable","Stable",0.875394267696688
"ENSG00000165046.13",304.164596199203,-0.0556073794883428,0.124034994315966,-0.44832008736735,0.653922205568932,0.875394267696688,"Stable","Stable",0.875394267696688
"ENSG00000232093.1",41.3031435890362,0.131251220040209,0.293121060678905,0.447771373835147,0.654318204952669,0.875682468138571,"Stable","Stable",0.875682468138571
"ENSG00000231162.4",384.782744286769,-0.0449332164685979,0.100358297172035,-0.44772796803809,0.654349534503505,0.875682468138571,"Stable","Stable",0.875682468138571
"ENSG00000184164.15",929.772446945348,-0.0540090205223763,0.12058320692671,-0.44789835914053,0.654226552660214,0.875682468138571,"Stable","Stable",0.875682468138571
"ENSG00000230777.1",144.159712230594,-0.119394518765036,0.266598939966874,-0.447843186397783,0.654266373228632,0.875682468138571,"Stable","Stable",0.875682468138571
"ENSG00000289086.2",14.4880935141712,0.218646578566691,0.489034273112579,0.447098681192753,0.654803811201484,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000149054.16",61.2956452014923,0.0978604381329601,0.218865789514605,0.447125328951557,0.654784571823326,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000205659.12",425.757338145903,0.0755633529953941,0.168981434450624,0.447169555880848,0.654752640990374,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000143537.14",2622.83933311362,0.0462665932859541,0.103470177473665,0.447149066674114,0.654767433651224,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000145592.14",5359.60649218888,-0.0311610636971985,0.0696429979961222,-0.447440009675253,0.654557393266969,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000198677.13",1921.12105046496,-0.0370367710545488,0.0828332358843817,-0.447124522652291,0.654785153958844,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000176788.9",24.3800332496021,-0.145075535710209,0.324372731226986,-0.447249481056684,0.654694938440446,0.875857819961816,"Stable","Stable",0.875857819961816
"ENSG00000269729.1",10.639837287815,0.310939312748168,0.695896756669047,0.446818166298832,0.655006353662737,0.876066956485518,"Stable","Stable",0.876066956485518
"ENSG00000198633.11",438.388351782424,-0.0333062050232899,0.074565364980251,-0.446671253230118,0.655112440637185,0.876147063994182,"Stable","Stable",0.876147063994182
"ENSG00000266984.1",14.6409676618014,0.248108890634486,0.555587443013178,0.446570371153261,0.655185292335942,0.876182714498753,"Stable","Stable",0.876182714498753
"ENSG00000210154.1",120.110769569658,-0.119841807353514,0.268474415078962,-0.446380737316319,0.655322244743402,0.876255715541004,"Stable","Stable",0.876255715541004
"ENSG00000289507.1",9.40846848388138,-0.414412322594466,0.928411972348722,-0.446366844608944,0.655332278428277,0.876255715541004,"Stable","Stable",0.876255715541004
"ENSG00000236701.3",17.3281961202505,0.37667676652211,0.848592695909993,0.443884054550079,0.657126413515072,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000288009.1",15.5519629527105,0.304450354048445,0.684532411706649,0.444756667240053,0.656495612708562,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000243250.1",10.0048796490605,0.263477006147283,0.593119218157032,0.444222675781728,0.656881599421707,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000265401.1",13.1633742919965,0.231724481020759,0.521770582215756,0.444111816416931,0.656961743724113,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000271644.1",15.8401494851755,0.199311931603594,0.447228624132697,0.445660051366605,0.65584282548561,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000089101.19",16.8228967424735,0.151752675438597,0.340721593390656,0.445386140421702,0.656040726358887,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000267278.6",51.3530616966527,0.147115719258454,0.330108701852773,0.445658410192612,0.655844011163189,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000079257.8",35.4178059194758,0.140300232322141,0.315319536569806,0.444946208688473,0.65635862790853,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000142544.7",244.520276556716,0.115422678624402,0.259110792641814,0.445456854373326,0.655989633160672,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000257635.2",103.224075340177,0.114745013051239,0.258150999383035,0.444487967606063,0.656689826252538,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000198901.14",281.966970100543,0.0774581138142425,0.173850336084053,0.445544803415239,0.65592608927816,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000244257.5",106.180125254039,0.0758239997613414,0.170253118003023,0.44536041777511,0.65605931223164,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000198836.11",2729.10107825803,0.0538489202091907,0.120980711078295,0.445103353495262,0.656245065466563,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000146425.11",322.763046026768,0.0504983806157212,0.113342946130379,0.44553615676826,0.655932336439037,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000167962.15",1365.84871348262,0.0277144323470441,0.0622459695881838,0.445240591967663,0.656145895055806,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000125868.16",5730.13107327298,0.0236918347439398,0.0530889688907774,0.446266620711398,0.65540466465139,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000135540.12",2485.33455439117,0.0189063821280554,0.0424716248144762,0.445153257278051,0.656209003604642,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000152620.13",1337.27496764746,-0.0226010099488528,0.0507887497418131,-0.445000321207867,0.656319521998189,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000102119.12",1945.92988625815,-0.0333050590962865,0.074842675703593,-0.445000914026483,0.656319093586618,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000287158.3",496.538864616387,-0.0362888985023775,0.0817033764991191,-0.444154208275208,0.656931096628351,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000119596.18",1741.04455091691,-0.0451807546562949,0.101390853833377,-0.445609766049942,0.655879154856538,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000183386.10",452.650029864359,-0.0453339324838344,0.101770581001345,-0.445452232244164,0.655992972754626,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000184188.6",502.71053412206,-0.0466220666855926,0.104902467099735,-0.44443250930664,0.656729913873083,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000196083.11",679.030799235083,-0.0537516971125768,0.121079792598335,-0.443936151186601,0.657088746644399,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000215086.2",943.33541672042,-0.0578063535896816,0.130241310905743,-0.443840385110349,0.657157988031401,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000143624.14",847.66388948027,-0.0598556805078997,0.134609480530223,-0.444661700439892,0.656564251158778,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000227973.1",385.007885578919,-0.0748476253506707,0.167965511112348,-0.445613059818017,0.65587677520015,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000079462.8",425.469358393457,-0.0749477712962649,0.168804558866961,-0.443991393356462,0.657048806444216,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000203416.3",69.854527819553,-0.08703319585224,0.196044422438439,-0.443946299362685,0.657081409419186,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000217404.2",106.36395491662,-0.101858931928433,0.22899149628986,-0.444815347201794,0.656453202476624,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000271614.1",48.6197271766864,-0.109545255141633,0.246737429385604,-0.4439750199814,0.657060644325255,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000225814.1",72.1056858266145,-0.111513613204234,0.250023591450116,-0.446012364503142,0.655588314486481,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000146205.15",29.5059909557109,-0.172870218128879,0.389155754127214,-0.444218584192816,0.656884557311318,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000280231.1",10.772198945149,-0.19753527681545,0.443114132112117,-0.445788708822922,0.655749878709401,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000236263.1",10.8544053472316,-0.201325913348014,0.452748548543134,-0.444674895139578,0.656554714350096,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000126246.10",13.4404023085365,-0.230949418453145,0.52004100453856,-0.444098477692293,0.656971387043538,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000261326.5",32.9321607954302,-0.23622804973212,0.531030655801148,-0.444848234563278,0.656429434018311,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000261840.5",10.7803484984264,-0.258639593048315,0.580994347609875,-0.445167141663805,0.656198970503634,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000289032.1",9.73086305483248,-0.323191402420521,0.726400515177858,-0.44492176928232,0.656376290030696,0.876287651785123,"Stable","Stable",0.876287651785123
"ENSG00000099282.10",94.9958320224078,-0.0993731568970769,0.223956799205007,-0.443715740043739,0.657248114094708,0.876346220037563,"Stable","Stable",0.876346220037563
"ENSG00000174373.17",161.721232312387,0.0536052280499346,0.120833258267985,0.443629749113018,0.657310293741794,0.876367520132195,"Stable","Stable",0.876367520132195
"ENSG00000248699.1",332.045869418757,0.0834003914705356,0.188183347800181,0.44318688367205,0.657630565266969,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000214063.12",385.67924123587,0.0719002829081625,0.162137710539161,0.443451943838793,0.657438871441877,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000177144.8",837.878210806134,-0.0478737703880344,0.107947403337593,-0.443491634887361,0.657410168468519,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000087250.9",52.2152141569536,-0.108232074456683,0.244194593879857,-0.443220600165837,0.657606179954175,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000257611.1",189.846759174232,-0.136467052501956,0.307948932322492,-0.443148321615365,0.657658455559515,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000287672.1",28.5606787267672,-0.138819223308397,0.313147650435516,-0.443302777828066,0.657546746830964,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000100100.13",19.4776060726326,-0.230374526586399,0.519857818487126,-0.443149104223974,0.657657889527316,0.876400472605728,"Stable","Stable",0.876400472605728
"ENSG00000171497.5",564.609457912943,-0.0456755809965903,0.103091829050263,-0.443057237584961,0.657724334650153,0.876426686476707,"Stable","Stable",0.876426686476707
"ENSG00000272382.1",10.2722117588637,0.210712938584258,0.47609219831505,0.442588514010517,0.658063394212304,0.876755296292833,"Stable","Stable",0.876755296292833
"ENSG00000181227.3",1394.64790766516,0.0466247225843385,0.105339542225995,0.442613681425632,0.65804518712577,0.876755296292833,"Stable","Stable",0.876755296292833
"ENSG00000060642.12",471.660968676994,0.0431876873021422,0.0976770114570548,0.44214791851131,0.658382170970631,0.877118398314248,"Stable","Stable",0.877118398314248
"ENSG00000232239.2",41.6343352018584,0.119591804002283,0.270840512212511,0.441558033638803,0.658809057823255,0.877326755073248,"Stable","Stable",0.877326755073248
"ENSG00000100220.12",2212.22485948348,0.0403355966759914,0.0913447912656185,0.441575224127458,0.658796615866763,0.877326755073248,"Stable","Stable",0.877326755073248
"ENSG00000174791.11",1729.74047444659,-0.0221072615119158,0.0500569328761463,-0.441642350853073,0.658748032474642,0.877326755073248,"Stable","Stable",0.877326755073248
"ENSG00000231822.1",600.141903789317,-0.0517333721251044,0.117134014914308,-0.441659684959585,0.658735487039423,0.877326755073248,"Stable","Stable",0.877326755073248
"ENSG00000244052.1",280.946482378561,-0.0575350418558911,0.130302939433227,-0.44154830356206,0.658816100200784,0.877326755073248,"Stable","Stable",0.877326755073248
"ENSG00000161970.15",426.154319790835,-0.160132840589748,0.362607208694413,-0.441615160289602,0.658767711643352,0.877326755073248,"Stable","Stable",0.877326755073248
"ENSG00000099338.23",25.0475671339264,0.183049497628302,0.414629906434119,0.441476832200928,0.658867830248128,0.877334044953401,"Stable","Stable",0.877334044953401
"ENSG00000164051.14",812.659033683127,0.0465513878816665,0.105503205404389,0.441231976822288,0.659045065779754,0.877446845615934,"Stable","Stable",0.877446845615934
