ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0003170,heart valve development,6/237,78/18860,0.07692307692307693,6.121389159363844,5.112965269358076,4.4631843858917693e-4,0.021824001783240964,0.018129753970715114,ROBO2/ROBO1/CDH11/SLIT2/SLIT3/APLNR,6
BP,GO:0003156,regulation of animal organ formation,4/237,29/18860,0.13793103448275862,10.976284009893787,6.065125521026421,4.510525010844714e-4,0.021824001783240964,0.018129753970715114,ROBO2/ROBO1/BMP7/SHH,4
BP,GO:0051963,regulation of synapse assembly,9/237,181/18860,0.049723756906077346,3.956920064340163,4.5093167448773155,4.8556171559008976e-4,0.023137751447436853,0.019221119267856503,ROBO2/THBS2/PRICKLE1/SLITRK2/SLITRK4/ADGRB1/FLRT3/SRGAP3/LINGO4,9
BP,GO:0003197,endocardial cushion development,5/237,53/18860,0.09433962264150944,7.507364063370751,5.351702446602984,5.273861545911777e-4,0.024391609649841967,0.02026273120271367,ROBO2/ROBO1/BMP7/APLNR/FOXF1,5
BP,GO:0071622,regulation of granulocyte chemotaxis,5/237,53/18860,0.09433962264150944,7.507364063370751,5.351702446602984,5.273861545911777e-4,0.024391609649841967,0.02026273120271367,SLIT2/CMKLR1/CAMK1D/DPP4/CD74,5
BP,GO:0001649,osteoblast differentiation,11/237,265/18860,0.04150943396226415,3.30324018788313,4.2596386300284745,5.504058472122503e-4,0.025087338978007644,0.020840691270492838,IGFBP5/IFITM1/SEMA7A/BAMBI/BMP7/GDPD2/SOX11/LEF1/SMOC1/SHH/CYP24A1,11
BP,GO:0014032,neural crest cell development,6/237,82/18860,0.07317073170731707,5.822784810126582,4.9372921356913135,5.836511078690298e-4,0.026222610489258554,0.021783790221517777,SEMA7A/BMP7/NRG1/SEMA6D/EDN3/SHH,6
BP,GO:0015803,branched-chain amino acid transport,3/237,14/18860,0.21428571428571427,17.052441229656417,6.778041048664254,6.437780952081752e-4,0.027826055331030462,0.023115812678978366,SLC6A15/SLC7A7/SLC6A20,3
BP,GO:0061029,eyelid development in camera-type eye,3/237,14/18860,0.21428571428571427,17.052441229656417,6.778041048664254,6.437780952081752e-4,0.027826055331030462,0.023115812678978366,TFAP2A/PRICKLE1/SOX11,3
BP,GO:0045926,negative regulation of growth,10/237,229/18860,0.043668122270742356,3.475024413612662,4.2509679148747965,6.623645800178981e-4,0.027826055331030462,0.023115812678978366,IGFBP5/BST2/SERPINE2/FOXP1/SLIT2/SLIT3/NPR1/TMPRSS4/SEMA6D/GPC3,10
