"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"ENSG00000202523.1",0,0,0,0,1.05025068386312,0.452289805517862,0,0,0,0,0,0,0,0.400951804734232,0.409004067488191,0,0,0,0,0,0.41092736740434,0.353619571572519,0,0,0.374344288717345,0,0,1.375406012978,0,0
"ENSG00000227463.3",0,0,0,0,0,0,0,0.0119689971259468,0,0,0.0137615362009114,0,0,0,0,0,0,0,0,0,0,0,0,0.0122100518871647,0,0,0,0.0236499348151983,0,0
"ENSG00000270166.1",0.29260710633314,0.160650978688831,0,0.205375642123118,0.195484616339486,0,0,0.388686629294433,0.140639047449976,0.150466318518602,0.148966118145632,0,0.166251324916243,0,0.304513977253981,0.128003311881914,0.151600930353564,0,0,0,0,0,0,0,0,0,0,0.128003114346493,0,0
"ENSG00000197506.8",0,0.00856721840419221,0,0,0.020849663245239,0.0179577890863456,0,0,0,0,0,0,0,0,0,0,0.0161691922603646,0,0,0,0,0,0,0,0.0297260548455969,0,0,0,0.00663405725032811,0
"ENSG00000233262.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913828046975491,0
"ENSG00000285987.1",0.0250153969220844,0,0,0,0,0,0.0295607953600522,0,0,0,0.0254706498420613,0.0135594914098721,0,0,0,0,0,0,0,0,0,0,0.0112904537784496,0,0,0,0.0215517198136528,0,0,0.0223749869483904
"ENSG00000228095.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109640098417075,0,0,0.113828306618399
"ENSG00000148053.18",7.97585101017098,4.8873901323154,7.56745010016489,5.24175466600379,4.96669572091049,4.97477869676893,1.53418495513707,2.80579033808088,3.43146213590314,0.972200625304377,0.921890132155949,0.98548169038108,6.79130796712316,7.17382359659191,6.50018242882127,6.42929269714921,6.69137852258473,6.52895135413811,7.91399717356373,7.28370407098741,7.68092914767053,8.2847556908547,9.00883017898772,9.07395665137565,4.17617052614851,3.99165545487537,4.13768876932866,5.01206959578192,4.89259821736941,4.2351976739233
"ENSG00000226590.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285556.1",0.126591074424127,0.139005373139178,0.0536256128003222,0.118469317772073,0.0563818788179148,0.194246569106619,0,0,0,0.130192961918201,0,0,0.719255732006062,0.387446059732658,1.27350950697902,0.812214698972817,0.743323298512528,0.960867038097294,0,0,0.0441206226055187,0,0.0380904256420327,0,0.924433369821991,0.797737715113964,0.87250436214009,1.07064499641814,0.861114597528905,0.79260447187443
"ENSG00000287930.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024716598541888,0,0
"ENSG00000285634.3",0,0,0,0,0,0,0,0.0133333504133552,0,0,0,0,0,0,0,0.00658646149401772,0,0,0,0,0,0,0,0,0,0.00790663358746234,0,0,0,0
"ENSG00000227412.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296134616587824,0,0,0,0,0,0,0,0
"ENSG00000135049.16",3.37644547563035,3.02130528578472,3.50699998673903,4.58022195354874,5.3356732454937,4.76374077405126,1.85111089106,3.92448366666427,4.05714749558061,4.41577060214562,4.09076221990122,3.95074272442183,2.80382068439429,2.79878809880895,2.68606113242497,2.70556342186687,2.42217708363241,2.48186233483031,5.63599247914519,4.65129845202391,5.17673634336871,5.43338369052345,6.23490678483526,5.54333883506416,5.31115644615899,5.26818083444026,5.34936681839534,5.2903980019335,4.63080836365999,5.21250214777957
"ENSG00000234424.2",0.0777385395623275,0.426810292444146,0.0329310485845547,0.0727510354773555,0.0346236489185643,0.0894639175749617,0.275591836509601,0.458953399813294,0.822015686517574,0.186551001240257,0.316613184526722,0.477562307347694,0.117783744090629,0.0793091481891888,0.242705710377608,0.113357813366659,0.241659918714861,0.0842943657025052,0.153573061730076,0.254569356962372,0.13547056068275,0.0466311522952773,0.257301194543789,0.163868841164391,0.246820410143304,0.163294727291158,0.200924162257535,0.294729859923857,0.0881339008459879,0.0695331284773025
"ENSG00000229454.1",0,0,0,0,0,0,0,0,0,0,0.190287722013535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230303.6",0,0,0.0127616062525817,0,0,0,0.100865476903334,0.364604675475423,0.37647015557376,0.0413103920582133,0.0766847126225638,0.146965254152465,0,0,0.031351514191229,0.0175715969216655,0.0312164240357289,0,0.0743917605512361,0.0438453345825863,0.0419985886525478,0.0316237943515504,0.0453230265029197,0.00907189726887037,0.0191298183613072,0.0105467995624341,0.012977191007532,0.00878578490253984,0.0256155707556507,0
"ENSG00000290924.1",0.0995707242117243,0.240537530933003,0.404922659992498,0.670914169201007,0.186259063159033,0.343767214328032,0.376522003493163,0.599603351301034,0.612579815221755,0.593942060083859,0.446084331933369,0.712429015879347,0.29418143037837,0.406329697793261,0.393765465867915,0.191655231998057,0.268257582672328,0.367090167844045,0.275383786301539,0.239112808270061,0.437261013899701,0.250853824245185,0.305593827182726,0.125933977785054,0.474206625051779,0.27190099855543,0.291665537517852,0.557541632682587,0.304790934296743,0.320619224305177
"ENSG00000165121.13",0.0473004997848262,0.0519390774757989,0.030055653191921,0.0995980990119194,0.158002315271443,0.244956956616754,0.139737978066323,0.104719898157989,0.0454691433643582,0.0972926755730899,0.0963226345059665,0.20511230663665,0.080624536331063,0.120640366026229,0.0738379024491955,0,0.0490131621438072,0.0512894331334417,0.233606220743783,0.180710033860736,0.0741851176552969,0.23407738012057,0,0.085463159639718,0.0675807388480871,0.0745182723066141,0.122253561066827,0.186227539810296,0.201096083493722,0.063461799265125
"ENSG00000289214.1",0,0,0,0.216018909565199,0.205615297032703,0.177096200241159,0.31823245868655,0.408829698374951,0.62869163437811,0,0.0783430256658413,0.083412994181651,0.0874335182860856,0.156994564617626,0,0,0,0,0.380002441612968,0.0839878002176989,0.160900543091143,0.138461406143558,0.486182976045139,0.208531749888659,0.0366440666498745,0,0.198867357013696,0.201955009583142,0.196271321413738,0.137642674029926
"ENSG00000213711.3",10.0464169628975,14.76291708585,9.51294654590483,10.4388351562677,10.0018959475515,8.10454435292818,7.44902990694583,4.84091529212158,5.30212664391263,4.96354003054237,8.07308517920938,7.26082446650499,7.72272125028622,5.6773593382884,7.48266409463653,8.10037666051737,7.60351300075505,8.43723776871439,2.77271069006887,2.90284124241369,4.37683080515434,3.23470679352454,5.55680349507541,5.16086193131491,12.0553577204379,9.67227034466255,11.8799222117764,10.4701515471968,12.1017103169308,11.0122593933648
"ENSG00000231741.2",5.29762375485163,4.2878928112982,4.02557393092337,4.90663114478338,5.91087953002526,5.37386838408893,2.71061216853994,2.87772848201051,3.38625869970495,5.42027238140374,5.42183902760296,5.59509136517234,4.43737017225357,3.87240782528743,5.05849989735394,5.11280803508712,4.86692687036974,6.099704144143,4.3426409815991,3.75576507703751,4.79676523694876,5.15976241354452,4.33836455541408,5.08194336706409,4.34371976431285,4.67490482839075,5.10521044093947,3.55984682991139,4.52774407334893,3.81030176241698
"ENSG00000135040.16",4.74212707155773,3.65472123597617,4.81369663175266,1.96810527173149,2.53449180461427,1.99313250372809,2.59653903196949,5.03417250314676,5.88361026632535,5.0951588011044,4.84042470420661,4.66193447128689,3.38717835292985,3.32345150592786,3.48215424746448,3.19032031080733,3.03375628121788,2.81055541740785,5.90016193650202,5.4849772605655,5.31554628113659,5.45410771390279,5.00381131560546,5.27392781370383,4.93210290048784,4.36186492528024,4.87725237212708,4.38603940993815,4.68335195478233,4.599884669879
"ENSG00000135052.16",36.2044092957922,30.2502794660032,34.8655162457847,35.1090945929886,34.9872667576087,35.9325178022263,52.9554448474218,82.3805685580933,83.1058159184523,40.0005803502754,40.9131414046742,42.2159213113745,15.6039809565848,16.2023175069713,16.1039191873663,17.1097457821653,15.8088289797043,15.4545312647746,114.354880755131,111.590778654709,113.841733567415,75.0014329875015,70.5082303710634,72.6524682296553,19.303536815786,19.4550256217651,19.8261311914363,20.0345285504868,20.7188111905443,18.7030153128346
"ENSG00000287333.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233713.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187753.13",0,0.0751679784165635,0.0347980410931053,0.0192188954719038,0.0365866016919529,0.0787799866168407,0.0485360395127906,0,0.0526435778706196,0.197127321665764,0,0.0742113558207653,0.0155576717988561,0.0279351667232867,0,0.0239569039997571,0.0283733981672654,0.0890733495503932,0,0.0597782020675152,0,0,0.0123585738934191,0.0247370313506356,0.0130406821889239,0.0862762783877807,0.0471811898925937,0.0359353005439949,0.0232826408143346,0
"ENSG00000270688.1",0,0,0,0,0,0,0.560605616147735,0,0,0.243951309314183,0,0,0,0,0.246854525939618,0,0.245790857496311,0.25720588509226,0,0,0,0,0,0.214290023061127,0.451871212416204,0.498258270452508,0,0,0,0
"ENSG00000223012.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000135070.15",8.58218172964552,8.12396828558713,8.2269376758415,7.84116747204113,9.44062618718299,10.3165482123567,16.3780991111903,16.5870713864574,17.9221992279163,12.1743034214497,11.6134920467581,11.7902509727286,3.5310124524198,3.20786110154949,3.09262934081658,2.82654621758807,3.33484741104423,3.3693891831157,7.4418060437464,7.84703365165319,7.52941292572801,7.58884351567872,8.43707028755083,8.92286254437457,3.69968686449963,4.18308585192111,4.05813381806417,4.17508281730957,4.67617982893721,5.00725503829506
"ENSG00000083223.18",4.31533313192727,2.10017560927936,4.28397246733452,4.74884092485786,4.93541092202144,5.48897882957088,1.6809809969207,3.79506971909576,4.79749629731327,4.97290397506253,4.02872614256747,4.82724565776605,5.32480164204677,5.26229067594089,4.2483490928332,4.95214602064935,5.05375613719566,4.86071953711703,3.38873565451393,3.09898327998733,3.3684158051522,2.96856960754721,3.91155220828239,3.73651254166583,4.76506177202246,4.94662668799027,4.92277012633337,4.78480107317865,4.69079776628411,4.20199052268516
"ENSG00000214908.3",67.0283509450826,89.8782604955452,67.9945269993829,65.6137759968402,77.6335100646673,78.0721787370833,74.3490904433124,41.4406738682293,36.8709651712782,54.2470674659169,54.5875383597249,45.1003140430287,104.937567054218,117.779186819016,110.62980465136,97.6929567995276,100.06275172284,99.9583292379602,72.1923612903,62.8314886961944,68.952614046317,83.1879304687968,77.5970337758845,77.3662172732445,92.9586287156562,99.8308522404013,90.3265733882209,88.3211124366157,92.5514193497947,101.664346484016
"ENSG00000235819.2",0.198779373062679,0.0363788166617683,0.0421027538514927,0,0,0,0.35234757940525,0.264049925024814,0,0.477015535402774,0.438526704822102,0.143663371797158,0,0,0,0,0,0,0.098172531610094,0.216980052463245,0.0346401582440023,0.506757303394007,0.209339942578114,0.419016689721179,0,0,0,0,0,0
"ENSG00000222293.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232211.1",0.0756361765427173,0,0,0,0,0,2.05573021694929,1.20566192181141,2.39935522083526,7.77882476869752,7.85529258478139,8.52764089950675,0,0,0,0,0,0,0.0747099139925873,0,0,0,0,0.0683302149006236,0,0,0,0,0,0
"ENSG00000285686.1",0,0,0,0,0,0,0,0.0491010310865259,0,0,0,0,0,0.0565658147757838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000288575.1",1.12049473745519,1.73224177756496,1.53638662638658,0.786455015000334,1.30016322246534,0.848355280669767,0.104533669506032,0,0,0.257768338234515,0.195151641351505,0.0159831445268997,0,0,0,0,0,0,0,0,0,0.0265312219936719,0,0,0,0,0,0,0,0
"ENSG00000180447.7",12.3129442500288,12.7926195545043,10.1402708846905,8.01598436308332,8.0897687811078,8.33191166056689,36.7521990261813,56.4953028951253,49.3298278471249,92.7854260979515,90.6403647508339,90.7025207231014,2.11469570809202,1.8725532934615,2.32137443709514,1.76200934117387,2.49628164683297,1.78293974591299,39.8228784477054,46.2342291651187,44.6733579093843,103.51687307071,97.9953409963538,95.9669080509865,1.90612064849589,1.79388820233188,1.5923089014944,2.70992157692152,2.15677947354053,2.47400123971404
"ENSG00000226237.4",0.158551774163376,0.304675587137617,0.184702588583839,0.0927371884339724,0.0706167236348307,0.0760276205715589,0.226394868551421,0.310069612756194,0.43183696969149,0.108708691559913,0.0201796554244743,0.150399072073409,0,0.0539183705773127,0.0137503015437691,0.0231199126273199,0.0205365795567946,0.0429806802049359,0.0913558935110411,0.122590630607805,0.0621673242052051,0.0297208275382309,0.0834875842186939,0.0417773726567755,0.0377552249002992,0.124893017362931,0.0455328029022789,0.0462397538970851,0.089876825714399,0.0413631206482481
"ENSG00000269994.3",0,0.0684046125264018,0.0395837856723435,0.0218620535904174,0.0416183254677693,0,0.0368074394440432,0.0413753443771075,0,0,0.0158573101677946,0,0.0353946099666283,0.0635541322189459,0.0648304815598997,0,0.0161377835729901,0,0,0,0.0651353402878675,0,0.0281164758041422,0,0,0,0.0134174945615301,0.0272516342897739,0.039727023487396,0.0557201500929225
"ENSG00000231007.5",53.7969869277731,64.6483100387395,58.1444644389627,52.1837599899684,53.7413274932758,58.0052629780548,54.7926585795861,35.7367124453953,31.5730911150598,86.7707159415492,106.177884855444,89.5817743620236,66.7804971976562,72.7150154993814,72.1450454723769,72.3437171118424,77.2065132721679,71.4030972310522,39.6754469249034,44.3410791656001,41.5233886214738,44.6536650198914,38.7189176651262,38.1706246477864,56.9183004108949,55.2389048954469,55.1895363402029,52.515752387526,50.5833066498437,56.8913876478758
"ENSG00000224887.1",15.4523716476676,13.3698575341903,16.8614943981639,18.9658499137632,19.5658205100715,18.5744606508234,11.9503467619787,15.9409891388733,16.3706121892478,10.7749674671959,13.0975941536481,13.7697935117588,11.0779414626833,10.9774211564573,12.7975763114771,10.5466462379233,11.5687878476871,10.9656393997457,8.43068585448137,9.53748848163367,5.87903957119953,9.82712714541592,7.88713959812826,7.23569399765029,13.6395797951624,10.2814161175412,13.208257466723,15.7491621919958,14.85878871619,14.2917124631627
