ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007160,cell-matrix adhesion,14/453,241/18888,0.0021275735605649697,0.037103458579225077,0.03056659306127695,EMILIN1/L1CAM/FAM107A/ADAMTS9/ARHGAP6/THSD1/SERPINE1/SFRP1/TRIP6/NEXMIF/APOD/ITGA2/ITGA10/WNT4,14
BP,GO:0007015,actin filament organization,22/453,467/18888,0.0021477961049692655,0.03720276941019442,0.030648407368434744,DPYSL3/CTNNA2/RND3/TAGLN3/FAM107A/ARHGAP6/SYNPO/SFRP1/SHROOM3/ESPN/CARMIL2/SERPINF2/MYO7A/SYNPO2L/PACSIN1/MAGEL2/PLEK/WNT4/LCP1/F11R/RFLNA/ZNF664-RFLNA,22
BP,GO:0007044,cell-substrate junction assembly,8/453,96/18888,0.002163658940129133,0.03720276941019442,0.030648407368434744,FAM107A/ARHGAP6/THSD1/SFRP1/TRIP6/APOD/ITGA2/WNT4,8
BP,GO:0006584,catecholamine metabolic process,6/453,56/18888,0.0021689714411413734,0.03720276941019442,0.030648407368434744,TH/DRD2/GPR37/NPR1/SNCB/DDC,6
BP,GO:0009712,catechol-containing compound metabolic process,6/453,56/18888,0.0021689714411413734,0.03720276941019442,0.030648407368434744,TH/DRD2/GPR37/NPR1/SNCB/DDC,6
BP,GO:0050708,regulation of protein secretion,15/453,269/18888,0.0022320652949717637,0.038128066186238985,0.03141068590249307,EGFR/PCSK1/SYT4/LLGL2/NNAT/SFRP1/SYT7/DRD2/NOS2/KCNN4/CCN3/GIPR/ABCG1/TCIRG1/GCK,15
BP,GO:0050921,positive regulation of chemotaxis,10/453,142/18888,0.0022704546447937257,0.03857308745023859,0.031777303581846224,PDGFB/SERPINE1/GAS6/PRSS56/MSTN/CMKLR1/CD74/ITGA2/RARRES2/IL34,10
BP,GO:0006941,striated muscle contraction,12/453,191/18888,0.0022766265625620667,0.03857308745023859,0.031777303581846224,HOMER1/SCN3A/PGAM2/HCN4/RYR3/KCNN2/SLC8A3/KLHL41/SCN5A/ATP1A2/TNNT1/MYLK2,12
BP,GO:0050807,regulation of synapse organization,14/453,243/18888,0.00229541034376626,0.03873388790614483,0.03190977430797162,HOMER1/SLITRK3/CTNNA2/WNT7A/C1QL1/AMIGO2/NEURL1/DRD2/SLITRK1/SRCIN1/NFATC4/SHANK2/SEMA3F/CLSTN2,14
BP,GO:0006814,sodium ion transport,14/453,244/18888,0.002383343072146517,0.039949378201993256,0.03291112023813062,SCN3A/HCN4/ATP1A3/NKAIN3/DRD2/SLC9A2/SLC8A3/ANK3/SCN5A/SCNN1G/SLC17A8/CNTN1/SLC6A11/ATP1A2,14
BP,GO:0015833,peptide transport,15/453,271/18888,0.0023961959094285783,0.039949378201993256,0.03291112023813062,EGFR/PTPRN/SMPD3/NNAT/SFRP1/SYT7/DRD2/NOS2/CCN3/GIPR/CD74/AQP1/SLC15A2/TCIRG1/GCK,15
