ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0086010,membrane depolarization during action potential,7/549,30/18805,0.23333333333333334,7.992410443230114,6.646699540433449,1.9745611608478186e-5,0.004741140742880151,0.004046118308544302,HCN4/SCN3A/ANK3/SCN5A/ATP1A2/SLC8A1/CACNA1D,7
BP,GO:0048880,sensory system development,29/549,426/18805,0.06807511737089202,2.331789767139571,4.821564870792416,2.3433442784845272e-5,0.00514056849267813,0.0043869923764203135,DLX1/DLX2/CRYAB/EPHA2/COL5A1/TUB/TH/EGFR/RDH10/WNT7A/NHS/DCX/SHH/ADAMTS9/NKD1/PRSS56/DRD2/SAMD11/WT1/MYO7A/AQP1/BMPR1B/TMEM132E/SLC17A8/LAMC3/SDK1/CRYBG3/SIX3/TCIRG1,29
BP,GO:0031589,cell-substrate adhesion,26/549,361/18805,0.07202216066481995,2.4669885816064463,4.880465618351994,2.3787915283101017e-5,0.00514056849267813,0.0043869923764203135,FAM107A/L1CAM/ARHGAP6/EMILIN1/THSD1/PDGFB/SERPINE1/WNT1/TRIP6/ADAMTS9/FBLN1/SRCIN1/SFRP1/GAS6/ST6GAL1/GBP1/NEXMIF/SMAD6/ITGA2/ITGA10/SIGLEC1/FOXF1/APOD/AXL/ANGPT1/OLFM4,26
BP,GO:0098659,inorganic cation import across plasma membrane,14/549,130/18805,0.1076923076923077,3.688804819952361,5.334689278803153,2.7140116852124427e-5,0.005214898626524627,0.004450426164139967,KCNJ9/HCN4/ATP1A3/KCNJ16/SLC9A2/KCNN4/SLC8A3/ATP1A2/SCNN1G/SLC8A1/CACNA1A/CACNA1D/SLC39A4/SLC5A2,14
BP,GO:0099587,inorganic ion import across plasma membrane,14/549,130/18805,0.1076923076923077,3.688804819952361,5.334689278803153,2.7140116852124427e-5,0.005214898626524627,0.004450426164139967,KCNJ9/HCN4/ATP1A3/KCNJ16/SLC9A2/KCNN4/SLC8A3/ATP1A2/SCNN1G/SLC8A1/CACNA1A/CACNA1D/SLC39A4/SLC5A2,14
BP,GO:0031630,regulation of synaptic vesicle fusion to presynaptic active zone membrane,6/549,22/18805,0.2727272727272727,9.341778440139095,6.78884654174907,3.0164846289476094e-5,0.005214898626524627,0.004450426164139967,GRIK5/CPLX2/SYT7/SYT4/RPH3A/SYT13,6
BP,GO:0086012,membrane depolarization during cardiac muscle cell action potential,6/549,22/18805,0.2727272727272727,9.341778440139095,6.78884654174907,3.0164846289476094e-5,0.005214898626524627,0.004450426164139967,HCN4/ANK3/SCN5A/ATP1A2/SLC8A1/CACNA1D,6
BP,GO:1901632,regulation of synaptic vesicle membrane organization,6/549,22/18805,0.2727272727272727,9.341778440139095,6.78884654174907,3.0164846289476094e-5,0.005214898626524627,0.004450426164139967,GRIK5/CPLX2/SYT7/SYT4/RPH3A/SYT13,6
BP,GO:0001654,eye development,28/549,415/18805,0.06746987951807229,2.311058441415937,4.683426563071186,3.786546454179465e-5,0.006294405298062941,0.005371683714754998,DLX1/DLX2/CRYAB/EPHA2/COL5A1/TUB/TH/EGFR/RDH10/WNT7A/NHS/DCX/SHH/ADAMTS9/NKD1/PRSS56/DRD2/SAMD11/WT1/MYO7A/AQP1/BMPR1B/SLC17A8/LAMC3/SDK1/CRYBG3/SIX3/TCIRG1,28
BP,GO:0007599,hemostasis,20/549,248/18805,0.08064516129032258,2.7623538398260767,4.844774254183821,4.320838588409554e-5,0.006916542362631887,0.005902619264634338,EMILIN1/PDGFB/SERPINE1/SHH/FBLN1/GAS6/PRSS56/VAV3/TPH1/SERPINF2/ITGA2/ANGPTL1/TSPAN18/PLA2G4A/TSPAN32/AXL/ANGPT1/MYL9/C1QTNF1/SCUBE1,20
