"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000120029.13",674.485781753552,-0.554430348082143,0.130551465613467,-4.24683357997438,2.16812880431009e-05,0.000255488864559258,"Stable","Sig",0.000255488864559258,"ARMH3","ARMH3"
"ENSG00000225830.16",269.062135972613,0.745601405808328,0.175657734777877,4.24462610058792,2.18958209287135e-05,0.000257798138812912,"Stable","Sig",0.000257798138812912,"ERCC6","ERCC6"
"ENSG00000114770.17",1065.30097357137,0.657192107004376,0.154831020952777,4.24457646123006,2.19006682582164e-05,0.000257798138812912,"Stable","Sig",0.000257798138812912,"ABCC5","ABCC5"
"ENSG00000185246.18",531.460268319843,0.641420062875827,0.15115710070615,4.24340014381957,2.20158360990748e-05,0.000259015370857918,"Stable","Sig",0.000259015370857918,"PRPF39","PRPF39"
"ENSG00000273783.2",14.3587319978705,-3.4180052583811,0.805657241219173,-4.24250547690573,2.21038145319613e-05,0.000259911591698834,"Down","Sig",0.000259911591698834,NA,"ENSG00000273783.2"
"ENSG00000169136.13",1113.3304833261,0.483277697834714,0.113925997325723,4.24203175025087,2.21505345660534e-05,0.0002603219708019,"Stable","Sig",0.0002603219708019,"ATF5","ATF5"
"ENSG00000229251.3",403.698064765003,0.611672003899343,0.144208220028148,4.24158902855848,2.21942817705711e-05,0.000260696992914697,"Stable","Sig",0.000260696992914697,NA,"ENSG00000229251.3"
"ENSG00000113597.18",463.650358956146,-0.634259588195963,0.149558593333543,-4.24087693029747,2.22648197726599e-05,0.000261246878355387,"Stable","Sig",0.000261246878355387,"TRAPPC13","TRAPPC13"
"ENSG00000225762.1",6.68020999223842,-6.10746248336704,1.44012074602546,-4.24093778262887,2.22587836222553e-05,0.000261246878355387,"Down","Sig",0.000261246878355387,NA,"ENSG00000225762.1"
"ENSG00000164815.11",486.954643169417,-0.601953372494627,0.141952162783712,-4.24053681670074,2.22985854993425e-05,0.000261503752416145,"Stable","Sig",0.000261503752416145,"ORC5","ORC5"
"ENSG00000283183.4",61.4289799751603,-1.37380137963291,0.324144034939197,-4.23824359405722,2.25275269653168e-05,0.000264048032934612,"Down","Sig",0.000264048032934612,"LOC105374338","LOC105374338"
"ENSG00000132274.17",1250.28106137202,0.528684678815952,0.124812094318883,4.23584494516382,2.27693864258284e-05,0.000266600168660041,"Stable","Sig",0.000266600168660041,"TRIM22","TRIM22"
"ENSG00000145740.20",2394.01810840683,0.469926313349446,0.110940418354784,4.23584407124404,2.27694749931682e-05,0.000266600168660041,"Stable","Sig",0.000266600168660041,"SLC30A5","SLC30A5"
"ENSG00000182446.15",4942.06369392406,-0.434809630220609,0.102667009588981,-4.2351445898866,2.28404691305841e-05,0.000267289315691809,"Stable","Sig",0.000267289315691809,"NPLOC4","NPLOC4"
"ENSG00000248019.3",49.8191940084186,1.42997673892808,0.337659265219903,4.23496964609219,2.28582580240358e-05,0.000267355430016657,"Up","Sig",0.000267355430016657,"FAM13A-AS1","FAM13A-AS1"
"ENSG00000173848.19",906.683346418213,0.622348294078459,0.147021033399608,4.23305618038269,2.30536886023661e-05,0.000269456674229369,"Stable","Sig",0.000269456674229369,"NET1","NET1"
"ENSG00000155366.17",4181.22459198128,-0.570568920482179,0.134791582410683,-4.23297145324528,2.30623788104959e-05,0.000269456674229369,"Stable","Sig",0.000269456674229369,"RHOC","RHOC"
"ENSG00000112941.14",2303.10321727354,0.53087571221442,0.125444744657546,4.23194860544911,2.31675355176525e-05,0.000270541782736361,"Stable","Sig",0.000270541782736361,"TENT4A","TENT4A"
"ENSG00000285410.1",232.091798375192,-0.712592123748204,0.168434600400231,-4.23067541974724,2.32990664248018e-05,0.000271933565945858,"Stable","Sig",0.000271933565945858,"GABPB1-IT1","GABPB1-IT1"
"ENSG00000136986.10",1945.68070000092,0.444506844212643,0.105087303340378,4.22988153738121,2.33814405739338e-05,0.000272750448728982,"Stable","Sig",0.000272750448728982,"DERL1","DERL1"
"ENSG00000128016.7",376.012506625118,0.70478008188191,0.166660008487103,4.22884942992458,2.34889476365323e-05,0.00027371959467331,"Stable","Sig",0.00027371959467331,"ZFP36","ZFP36"
"ENSG00000163995.22",25.1362770700216,-2.15204164249593,0.508895804905749,-4.22884531912088,2.34893767677332e-05,0.00027371959467331,"Down","Sig",0.00027371959467331,"ABLIM2","ABLIM2"
"ENSG00000243716.12",412.622338099426,0.689729331431749,0.16313902008551,4.22786241495276,2.35921976039635e-05,0.000274772374420779,"Stable","Sig",0.000274772374420779,"NPIPB5","NPIPB5"
"ENSG00000241839.10",493.972171245596,0.568762207084215,0.134605101713939,4.22541344898608,2.38502480767383e-05,0.000277631006153321,"Stable","Sig",0.000277631006153321,"PLEKHO2","PLEKHO2"
"ENSG00000189058.9",4450.18683231939,-0.5468156799559,0.129419678628782,-4.22513551068493,2.38797038791436e-05,0.000277827046082546,"Stable","Sig",0.000277827046082546,"APOD","APOD"
"ENSG00000164125.16",1070.41432320206,-0.762012479723651,0.180474310614457,-4.2222767169978,2.4184693583493e-05,0.00028122686984311,"Stable","Sig",0.00028122686984311,"GASK1B","GASK1B"
"ENSG00000173141.5",932.950971300549,-0.673841506775145,0.159612135918341,-4.22174355914822,2.42419819087918e-05,0.000281744279450781,"Stable","Sig",0.000281744279450781,"MRPL57","MRPL57"
"ENSG00000112139.17",739.726067783759,-0.710488324502597,0.168358922900557,-4.22008119475945,2.442143456406e-05,0.000283680208248343,"Stable","Sig",0.000283680208248343,"MDGA1","MDGA1"
"ENSG00000123737.13",916.365073257406,0.533527169679623,0.126496517950632,4.21772218179037,2.46782610413012e-05,0.000286512399142655,"Stable","Sig",0.000286512399142655,"EXOSC9","EXOSC9"
"ENSG00000170017.12",1079.21918570627,-0.79466828678211,0.188473138920626,-4.21634770521213,2.48290832409643e-05,0.000288111553898313,"Stable","Sig",0.000288111553898313,"ALCAM","ALCAM"
"ENSG00000174456.16",123.093055730342,-0.997764429366846,0.236658052028209,-4.21605950364163,2.4860818797206e-05,0.00028832789530788,"Stable","Sig",0.00028832789530788,"C12orf76","C12orf76"
"ENSG00000113407.14",6393.65399803519,0.394756489004355,0.0936765462547093,4.21403760906172,2.50845487770887e-05,0.000290769527508738,"Stable","Sig",0.000290769527508738,"TARS1","TARS1"
"ENSG00000065457.11",800.27528136855,-0.553678120410897,0.131419346643939,-4.2130640164496,2.5192962244092e-05,0.000291724959010743,"Stable","Sig",0.000291724959010743,"ADAT1","ADAT1"
"ENSG00000144468.17",278.429864932228,-0.806363532881244,0.191396188619048,-4.21305951126444,2.51934649490752e-05,0.000291724959010743,"Stable","Sig",0.000291724959010743,"RHBDD1","RHBDD1"
"ENSG00000134070.5",850.851920250158,0.48662899295362,0.11551083169562,4.21284294996614,2.5217640904547e-05,0.000291851457320937,"Stable","Sig",0.000291851457320937,"IRAK2","IRAK2"
"ENSG00000163644.15",873.964655393135,0.499197538520729,0.118512741028958,4.21218456502286,2.52912757185834e-05,0.00029254992459353,"Stable","Sig",0.00029254992459353,"PPM1K","PPM1K"
"ENSG00000176390.12",758.853238970402,0.525391807376392,0.124773213605198,4.21077402910221,2.54497213279311e-05,0.000294228169305173,"Stable","Sig",0.000294228169305173,"CRLF3","CRLF3"
"ENSG00000253293.6",120.327812432987,1.06390884594187,0.252719972853274,4.20983285939006,2.55559676799927e-05,0.000295301485930829,"Up","Sig",0.000295301485930829,"HOXA10","HOXA10"
"ENSG00000223891.7",137.130477702446,-0.940878755375878,0.22351280914766,-4.2095070925188,2.55928408930398e-05,0.000295572484440645,"Stable","Sig",0.000295572484440645,"OSER1-DT","OSER1-DT"
"ENSG00000260007.3",51.6578409633902,1.45993094420497,0.346964050897542,4.20772970694905,2.57949141907286e-05,0.000297750099652309,"Up","Sig",0.000297750099652309,NA,"ENSG00000260007.3"
"ENSG00000176994.11",917.108857922419,0.888584107335955,0.211354252305915,4.20424049973602,2.61960286727563e-05,0.000302221757720684,"Stable","Sig",0.000302221757720684,"SMCR8","SMCR8"
"ENSG00000146247.15",1416.23652752716,-0.587968626844546,0.139866292506879,-4.20379075119638,2.62481606748099e-05,0.000302664654817808,"Stable","Sig",0.000302664654817808,"PHIP","PHIP"
"ENSG00000176749.9",234.165689974329,0.788220634644793,0.187590289858008,4.20182001553181,2.64777615011579e-05,0.000304992792521706,"Stable","Sig",0.000304992792521706,"CDK5R1","CDK5R1"
"ENSG00000188352.13",654.830504078036,-0.814528830661009,0.193848127105841,-4.20189167066997,2.64693799539334e-05,0.000304992792521706,"Stable","Sig",0.000304992792521706,"FOCAD","FOCAD"
"ENSG00000115255.12",350.263909974535,-0.726371972964046,0.172876554446129,-4.20168006755593,2.64941385842773e-05,0.000305021907046589,"Stable","Sig",0.000305021907046589,"REEP6","REEP6"
"ENSG00000102897.10",441.99925893115,0.686861579866489,0.163567173592036,4.19926299869702,2.67785148661306e-05,0.000308134802200449,"Stable","Sig",0.000308134802200449,"LYRM1","LYRM1"
"ENSG00000158201.10",652.338399875677,0.507880120112293,0.120978467383611,4.19810344019199,2.6915968833993e-05,0.000309554724595229,"Stable","Sig",0.000309554724595229,"ABHD3","ABHD3"
"ENSG00000113369.9",1788.03010457957,0.574183104912697,0.136843008339587,4.19592576836526,2.7175925001629e-05,0.000312379254963191,"Stable","Sig",0.000312379254963191,"ARRDC3","ARRDC3"
"ENSG00000091622.16",392.368961544984,-0.770906147506289,0.183732421210026,-4.19580900545071,2.71899306104448e-05,0.000312379254963191,"Stable","Sig",0.000312379254963191,"PITPNM3","PITPNM3"
"ENSG00000164430.17",98.3217763908415,1.12050013730056,0.267093213394924,4.19516513751247,2.72672853593273e-05,0.000313104636472276,"Up","Sig",0.000313104636472276,"CGAS","CGAS"
"ENSG00000015532.10",1243.72543586361,-0.494010782832158,0.117791255414552,-4.19395124955198,2.74136922113005e-05,0.000314457894407126,"Stable","Sig",0.000314457894407126,"XYLT2","XYLT2"
"ENSG00000094631.22",723.037231068734,-0.531830150097183,0.126806814977317,-4.19401867472434,2.74055405037274e-05,0.000314457894407126,"Stable","Sig",0.000314457894407126,"HDAC6","HDAC6"
"ENSG00000261693.1",14.6322042221179,3.44409370391729,0.82125975718013,4.19367158052758,2.74475288342872e-05,0.000314682131726362,"Up","Sig",0.000314682131726362,NA,"ENSG00000261693.1"
"ENSG00000128185.10",773.037835625401,-0.681312484747305,0.162505729805326,-4.1925443832872,2.75843092784043e-05,0.000315921387180226,"Stable","Sig",0.000315921387180226,"DGCR6L","DGCR6L"
"ENSG00000259558.1",29.5204107467328,-2.0015524299627,0.477399715229861,-4.19261337221155,2.7575919189796e-05,0.000315921387180226,"Down","Sig",0.000315921387180226,NA,"ENSG00000259558.1"
"ENSG00000047936.11",120.709130916199,-1.25759231227289,0.29997821446284,-4.19227881106236,2.76166295071759e-05,0.000316127156063432,"Down","Sig",0.000316127156063432,"ROS1","ROS1"
"ENSG00000087086.15",15011.9743881756,0.540135240329463,0.12886075821334,4.19161929371254,2.76970487975261e-05,0.000316883014398294,"Stable","Sig",0.000316883014398294,"FTL","FTL"
"ENSG00000168066.22",5335.43637112776,0.417670640507316,0.09966457156905,4.19076341704779,2.78017434692589e-05,0.000317915679214412,"Stable","Sig",0.000317915679214412,"SF1","SF1"
"ENSG00000137106.18",1497.34863546477,-0.54102527814316,0.129117676403053,-4.19017204471909,2.78743024735173e-05,0.000318579988415539,"Stable","Sig",0.000318579988415539,"GRHPR","GRHPR"
"ENSG00000104415.14",123.531098445126,-1.0028635656597,0.239419699051118,-4.18872619769515,2.80524610446854e-05,0.00032044989732788,"Down","Sig",0.00032044989732788,"CCN4","CCN4"
"ENSG00000184635.17",468.734957784616,0.590237346623396,0.14094605157397,4.18768273415332,2.8181709574699e-05,0.000321592731436876,"Stable","Sig",0.000321592731436876,"ZNF93","ZNF93"
"ENSG00000257511.1",1612.38298560466,-0.516749002694396,0.123395322295791,-4.18775195915204,2.81731175218176e-05,0.000321592731436876,"Stable","Sig",0.000321592731436876,"LOC100420981","LOC100420981"
"ENSG00000234997.3",75.0386410570723,-1.25147885651016,0.298905158191,-4.18687607829927,2.82820137265067e-05,0.000322570207308432,"Down","Sig",0.000322570207308432,NA,"ENSG00000234997.3"
"ENSG00000013374.17",1945.57238237078,0.435987568237688,0.104140484420948,4.18653293828915,2.83247845101443e-05,0.000322890814726407,"Stable","Sig",0.000322890814726407,"NUB1","NUB1"
"ENSG00000156504.17",2200.80343615476,0.555743157503026,0.132822038121192,4.18411857974912,2.86274659804177e-05,0.000326172431843103,"Stable","Sig",0.000326172431843103,"PABIR2","PABIR2"
"ENSG00000122299.12",737.878701049771,-0.667688960170568,0.159641519786585,-4.18242673374171,2.88413975846802e-05,0.000328439989868147,"Stable","Sig",0.000328439989868147,"ZC3H7A","ZC3H7A"
"ENSG00000135047.16",7473.25778819976,0.45378021985946,0.108595990915471,4.17860932097093,2.932970083593e-05,0.000333828078144973,"Stable","Sig",0.000333828078144973,"CTSL","CTSL"
"ENSG00000143847.16",629.741138803684,0.604056490519404,0.144584316357318,4.17788392087127,2.94233743272223e-05,0.00033455321890585,"Stable","Sig",0.00033455321890585,"PPFIA4","PPFIA4"
"ENSG00000134532.20",257.589021090099,-1.0936569754971,0.261773146571595,-4.17788069487098,2.94237915465234e-05,0.00033455321890585,"Down","Sig",0.00033455321890585,"SOX5","SOX5"
"ENSG00000270978.1",110.385882180371,-1.2958371073234,0.310293154363521,-4.17617046686525,2.96457691644152e-05,0.000336903209534098,"Down","Sig",0.000336903209534098,"GLULP1","GLULP1"
"ENSG00000290911.1",38.2212966417376,1.67716304264377,0.401986774517728,4.17218463133744,3.01693010462756e-05,0.000342675959898491,"Up","Sig",0.000342675959898491,"LOC101928764","LOC101928764"
"ENSG00000140937.14",1327.31385150348,-0.63192601632837,0.151473335523747,-4.17186308166628,3.02119168215923e-05,0.000342983121690076,"Stable","Sig",0.000342983121690076,"CDH11","CDH11"
"ENSG00000162419.13",587.583163473552,0.572682095095228,0.137293031784457,4.17123933860175,3.02947462133101e-05,0.000343746259970088,"Stable","Sig",0.000343746259970088,"GMEB1","GMEB1"
"ENSG00000162337.12",999.81661671816,-0.717259457319598,0.171994818688973,-4.17023874781166,3.04280697020996e-05,0.000344903657807021,"Stable","Sig",0.000344903657807021,"LRP5","LRP5"
"ENSG00000148082.10",439.849281532009,-0.778071053518192,0.186572056431498,-4.17035148992887,3.04130195769335e-05,0.000344903657807021,"Stable","Sig",0.000344903657807021,"SHC3","SHC3"
"ENSG00000084090.14",3896.57883019145,0.427731627136454,0.102579917228133,4.16974041990304,3.04946771127618e-05,0.000345480848112894,"Stable","Sig",0.000345480848112894,"STARD7","STARD7"
"ENSG00000008405.12",729.837470553359,0.631175582477523,0.151416881071758,4.16846244626055,3.06661272830509e-05,0.000347244620710495,"Stable","Sig",0.000347244620710495,"CRY1","CRY1"
"ENSG00000114446.5",494.489243307489,-0.615720090739171,0.147738091747487,-4.16764615987838,3.07761174858284e-05,0.000348132106578267,"Stable","Sig",0.000348132106578267,"IFT57","IFT57"
"ENSG00000100592.16",363.722664479922,-0.703023302645969,0.168685798526996,-4.16764961119983,3.07756516506191e-05,0.000348132106578267,"Stable","Sig",0.000348132106578267,"DAAM1","DAAM1"
