ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0044772,mitotic cell cycle phase transition,109/2408,451/18888,1.502189429408501e-11,4.316290960500426e-9,3.606007607738001e-9,ID2/RRM2/CCL2/MELK/DTL/AURKA/ORC1/TRIP13/CDK1/CDKN3/MAD2L1/FOXM1/HASPIN/CDK2/CDCA8/CCNB1/PLK1/CCNB2/ZWINT/BUB1/NUF2/CCNF/CCNE2/CDC25A/E2F7/CDCA5/CENPE/IQGAP3/MYC/GTSE1/CCNA2/CACNB4/NDC80/CLSPN/E2F1/TTK/CALM1/ESPL1/RCC1/FBXO5/CDC6/AURKB/ANLN/RRM1/MASTL/DLGAP5/TICRR/UBE2C/XRCC3/RFWD3/KDM8/BIRC5/CCND1/WEE1/BLM/KIF14/CDKN1A/KNL1/HSPA2/ATAD5/CHEK1/PKMYT1/SMARCE1/DBF4/RPS27L/RBBP8/TACC3/TAOK3/BUB1B/BRCA1/CDC25C/BCAT1/GFI1B/PLK5/CENPF/BARD1/ACTL6A/INCENP/MAP3K20/CCDC57/TPD52L1/ZFP36L2/CDC7/ZWILCH/CDC20/NABP1/SPDL1/CKS1B/CENPJ/SPC24/FAM107A/MUC1/RBL1/STIL/SPC25/CRLF3/CCNP/KNTC1/MBLAC1/USP37/GEN1/EIF4EBP1/PRKDC/APPL1/CDK14/UBE2S/LSM11/GJC2/UBE2E2,109
BP,GO:0007094,mitotic spindle assembly checkpoint signaling,25/2408,46/18888,1.7861636914965357e-11,4.490713214370873e-9,3.7517271572705745e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,25
BP,GO:0071173,spindle assembly checkpoint signaling,25/2408,46/18888,1.7861636914965357e-11,4.490713214370873e-9,3.7517271572705745e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,25
BP,GO:0071174,mitotic spindle checkpoint signaling,25/2408,46/18888,1.7861636914965357e-11,4.490713214370873e-9,3.7517271572705745e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,25
BP,GO:0051985,negative regulation of chromosome segregation,26/2408,50/18888,2.6711450596041218e-11,5.9695145517226936e-9,4.987178826683875e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,26/2408,50/18888,2.6711450596041218e-11,5.9695145517226936e-9,4.987178826683875e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:1905819,negative regulation of chromosome separation,26/2408,50/18888,2.6711450596041218e-11,5.9695145517226936e-9,4.987178826683875e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,26
BP,GO:0031577,spindle checkpoint signaling,25/2408,47/18888,3.354077698195144e-11,7.031240312793966e-9,5.874188346382832e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,25
BP,GO:0051960,regulation of nervous system development,111/2408,468/18888,3.379283544431969e-11,7.031240312793966e-9,5.874188346382832e-9,GFAP/ASCL1/NOG/CXCR4/NCAN/ID2/SOX8/BCAN/DLL1/SLC7A5/LRRN3/BTG2/ETV5/L1CAM/LRRC4B/RGMA/SEMA5B/NLGN3/PTN/DRAXIN/TTBK1/EPHB1/TG/MAP6/WDR62/BMP2/LIF/DLL3/RND2/EPHA4/NUMBL/PLXNB1/LRP8/LDLR/PLXNA2/XRCC2/NTN1/SEMA6B/HEY2/SPP1/NRP1/FGF13/EPHB3/HMGB2/AGRN/PLXNB3/OLIG2/HAP1/SEMA3A/GPR37L1/MYB/ARHGAP4/FOXG1/CLSTN3/EFNB3/BHLHE41/SERPINF1/DRD2/SLITRK3/KIF14/TNFRSF1B/DCT/CDH4/SEMA6C/THBS2/ITPKA/SHH/SMO/RASSF10/ADGRB1/SLITRK1/HES5/ABCC8/MT3/GPER1/S100A10/CRABP2/SHANK3/EFNA5/SEMA6D/LRRTM2/NTRK2/HES6/LRRN1/SEMA6A/FSTL4/TPPP/SEMA7A/TNFRSF21/LRRC24/ASPM/ANKRD27/EPHA7/SLIT2/IL1RAP/OTP/ROBO2/GBX2/CDH1/PLXNC1/HIF1A/SLITRK4/LYN/MACF1/ACAN/GJC2/TNR/HES7/PLAG1/PRKCH/IL1B,111
BP,GO:0033047,regulation of mitotic sister chromatid segregation,27/2408,54/18888,3.651830366442057e-11,7.345048143703791e-9,6.1363563596108814e-9,TRIP13/CDK1/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,27
BP,GO:0051306,mitotic sister chromatid separation,29/2408,62/18888,5.587076791728771e-11,1.0874974632674647e-8,9.08540263347677e-9,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/ESPL1/FBXO5/AURKB/DLGAP5/UBE2C/XRCC3/BIRC5/KNL1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,29
BP,GO:0051783,regulation of nuclear division,49/2408,147/18888,7.815214246536936e-11,1.473656336362621e-8,1.2311533232455718e-8,AURKA/TRIP13/KIF20B/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/CDCA2/LIF/GPR3/NDC80/TTK/ESPL1/RCC1/MKI67/FBXO5/NEK2/PDGFRB/AURKB/DLGAP5/UBE2C/XRCC3/BIRC5/RAD51AP1/KNL1/CHEK1/PKMYT1/TGFA/BORA/BUB1B/CDC25C/PDGFB/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/SPHK1/KNTC1/GEN1/FBXO43/CCDC8/IL1B,49
BP,GO:0051784,negative regulation of nuclear division,29/2408,63/18888,9.095437301435629e-11,1.6630869296018967e-8,1.3894114589019209e-8,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/LIF/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/CHEK1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1/FBXO43,29
BP,GO:0045839,negative regulation of mitotic nuclear division,27/2408,56/18888,1.0696881736843754e-10,1.8983818941210356e-8,1.5859865832119113e-8,TRIP13/MAD2L1/HASPIN/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/NDC80/TTK/FBXO5/AURKB/XRCC3/BIRC5/KNL1/CHEK1/BUB1B/CENPF/INCENP/ZWILCH/CDC20/SPDL1/SPC24/SPC25/KNTC1/GEN1,27
BP,GO:0010948,negative regulation of cell cycle process,82/2408,316/18888,1.3006639502136087e-10,2.2423446501682614e-8,1.8733472654354804e-8,CCL2/DTL/ORC1/TRIP13/CDK1/MAD2L1/HASPIN/CDK2/CDC45/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/FANCD2/CCNF/EME1/LIF/RAD51/E2F7/GTSE1/CDT1/CACNB4/NDC80/CLSPN/E2F1/TTK/ESPL1/WDR76/FBXO5/NEK2/BRCA2/CDC6/AURKB/TICRR/STK33/XRCC3/RFWD3/BIRC5/CCND1/WEE1/BLM/CDKN1A/TIMELESS/KNL1/CHEK1/PKMYT1/RPS27L/RBBP8/E2F8/TAOK3/BUB1B/BRCA1/GFI1B/CENPF/BARD1/INCENP/MAP3K20/GPER1/ZFP36L2/FBXO6/ZWILCH/CDC20/NABP1/DNA2/SPDL1/CCP110/SPC24/FAM107A/MUC1/RBL1/SPC25/BRIP1/CRLF3/KNTC1/MDC1/GEN1/FBXO43/PRKDC/BCL6/GJC2,82
BP,GO:1901991,negative regulation of mitotic cell cycle phase transition,58/2408,195/18888,2.564094030340537e-10,4.297706494187444e-8,3.590481377573342e-8,CCL2/DTL/ORC1/TRIP13/CDK1/MAD2L1/HASPIN/CDK2/CDCA8/CCNB1/PLK1/ZWINT/BUB1/NUF2/E2F7/GTSE1/CACNB4/NDC80/CLSPN/TTK/FBXO5/CDC6/AURKB/TICRR/XRCC3/RFWD3/BIRC5/CCND1/WEE1/BLM/CDKN1A/KNL1/CHEK1/PKMYT1/RPS27L/RBBP8/TAOK3/BUB1B/BRCA1/GFI1B/CENPF/BARD1/INCENP/ZFP36L2/ZWILCH/CDC20/NABP1/SPDL1/SPC24/FAM107A/MUC1/RBL1/SPC25/CRLF3/KNTC1/GEN1/PRKDC/GJC2,58
